-0.0000003278,-0.0000003396,-0.0000003602,
-0.0000003907,-0.0000004288,-0.0000004694,
-0.0000005061,-0.0000005338,-0.0000005495,
-0.0000005539,-0.0000005508,-0.0000005456,
-0.0000005440,-0.0000005499,-0.0000005637,
-0.0000005831,-0.0000006033,-0.0000006186,
-0.0000006245,-0.0000006191,-0.0000006031,
-0.0000005800,-0.0000005544,-0.0000005304,
-0.0000005107,-0.0000004955,-0.0000004826,
-0.0000004686,-0.0000004498,-0.0000004239,
-0.0000003899,-0.0000003490,-0.0000003035,
-0.0000002560,-0.0000002088,-0.0000001628,
-0.0000001177,-0.0000000724,-0.0000000252,
0.0000000249,0.0000000783,0.0000001346,
0.0000001931,0.0000002526,0.0000003123,
0.0000003720,0.0000004316,0.0000004912,
0.0000005509,0.0000006104,0.0000006694,
0.0000007273,0.0000007841,0.0000008396,
0.0000008941,0.0000009476,0.0000009997,
0.0000010495,0.0000010957,0.0000011369,
0.0000011724,0.0000012026,0.0000012289,
0.0000012537,0.0000012789,0.0000013055,
0.0000013323,0.0000013559,0.0000013718,
0.0000013753,0.0000013636,0.0000013371,
0.0000013002,0.0000012596,0.0000012230,
0.0000011957,0.0000011788,0.0000011675,
0.0000011528,0.0000011231,0.0000010689,
0.0000009859,0.0000008773,0.0000007539,
0.0000006308,0.0000005229,0.0000004398,
0.0000003822,0.0000003404,0.0000002973,
0.0000002334,0.0000001332,-0.0000000089,
-0.0000001858,-0.0000003797,-0.0000005664,
-0.0000007237,-0.0000008381,-0.0000009100,
-0.0000009539,-0.0000009943,-0.0000010577,
-0.0000011638,-0.0000013189,-0.0000015127,
-0.0000017217,-0.0000019160,-0.0000020688,
-0.0000021652,-0.0000022070,-0.0000022118,
-0.0000022076,-0.0000022235,-0.0000022798,
-0.0000023816,-0.0000025171,-0.0000026616,
-0.0000027855,-0.0000028638,-0.0000028841,
-0.0000028497,-0.0000027784,-0.0000026955,
-0.0000026255,-0.0000025840,-0.0000025732,
-0.0000025818,-0.0000025900,-0.0000025759,
-0.0000025234,-0.0000024265,-0.0000022904,
-0.0000021289,-0.0000019585,-0.0000017927,
-0.0000016381,-0.0000014932,-0.0000013499,
-0.0000011980,-0.0000010288,-0.0000008386,
-0.0000006286,-0.0000004041,-0.0000001716,
0.0000000642,0.0000003012,0.0000005403,
0.0000007832,0.0000010311,0.0000012837,
0.0000015386,0.0000017939,0.0000020485,
0.0000023039,0.0000025627,0.0000028271,
0.0000030952,0.0000033605,0.0000036120,
0.0000038381,0.0000040323,0.0000041979,
0.0000043502,0.0000045127,0.0000047093,
0.0000049531,0.0000052363,0.0000055272,
0.0000057757,0.0000059283,0.0000059483,
0.0000058348,0.0000056313,0.0000054191,
0.0000052951,0.0000053375,0.0000055724,
